title,artist,genre
I Don't Care (with Justin Bieber) - Loud Luxury Remix,Ed Sheeran,pop
Memories - Dillon Francis Remix,Maroon 5,pop
All the Time - Don Diablo Remix,Zara Larsson,pop
Call You Mine - Keanu Silva Remix,The Chainsmokers,pop
Someone You Loved - Future Humans Remix,Lewis Capaldi,pop
Beautiful People (feat. Khalid) - Jack Wins Remix,Ed Sheeran,pop
Never Really Over - R3HAB Remix,Katy Perry,pop
Post Malone (feat. RANI) - GATTÜSO Remix,Sam Feldt,pop
Tough Love - Tiësto Remix / Radio Edit,Avicii,pop
If I Can't Have You - Gryffin Remix,Shawn Mendes,pop
Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix,Ed Sheeran,pop
Hate Me - R3HAB Remix,Ellie Goulding,pop
Body On My,Loud Luxury,pop
SOS - Laidback Luke Tribute Remix / Radio Edit,Avicii,pop
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,Martin Garrix,pop
South of the Border (feat. Camila Cabello & Cardi B) - Andy Jarvis Remix,Ed Sheeran,pop
All My Friends - Eden Prince Remix,AJ Mitchell,pop
Say My Name (feat. Bebe Rexha & J Balvin) - Lucas & Steve Remix,David Guetta,pop
Dancing With A Stranger (With Normani) - Cheat Codes Remix,Sam Smith,pop
Let It Be Me - Sondr Remix,Steve Aoki,pop
Heaven - David Guetta & MORTEN Remix,Avicii,pop
All Around The World (La La La) - Marnik Remix,R3HAB,pop
Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix,David Guetta,pop
Slow Dance (feat. Ava Max) - Sam Feldt Remix,AJ Mitchell,pop
Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix,The Chainsmokers,pop
Hold Me While You Wait - Steve Void Remix,Lewis Capaldi,pop
One Thing Right - Firebeatz Remix,Marshmello,pop
Close To Me (with Diplo) (feat. Swae Lee) - CID Remix,Ellie Goulding,pop
So Am I - Toby Green Remix,Ava Max,pop
When You Leave - Breathe Carolina Remix,Nikki Vianna,pop
Mother - Fedde Le Grand Remix,Charlie Puth,pop
Signs - Eden Prince Remix,Starley,pop
Ruin My Life - Steve James Remix,Zara Larsson,pop
Torn - KREAM Remix,Ava Max,pop
Quite Miss Home - Steve Void Remix,James Arthur,pop
Love Me Less (feat. Quinn XCII) - Party Pupils Remix,MAX,pop
Happier - Matt Medved Remix,Marshmello,pop
Side Effects - Fedde Le Grand Remix,The Chainsmokers,pop
Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],ILLENIUM,pop
Paradise - Bazzi vs. Black Caviar Remix,Bazzi vs.,pop
White Mercedes - EDX's Miami Sunset Remix,Charli XCX,pop
Higher Love,Kygo,pop
Unlove You,Armin van Buuren,pop
bad guy (with Justin Bieber),Billie Eilish,pop
Freaking Me Out - Keanu Silva Remix,Ava Max,pop
Heaven Can Wait - The Aston Shuffle Remix,Sia,pop
When It Comes To You - Benny Benassi & BB Team Remix,Sean Paul,pop
Gone - The Wild Remix,Charli XCX,pop
American Boy - Brooks Remix,Estelle,pop
Million Pieces - M-22 Remix,Bastille,pop
joy. (R3HAB Remix),for KING & COUNTRY,pop
Crash Into Me - Settle Down Steavis Aoki Remix,Steve Aoki,pop
Old Town Road - Diplo Remix,Lil Nas X,pop
Lovers + Strangers - GATTÜSO Remix,Starley,pop
Promises (with Sam Smith) - David Guetta Remix,Calvin Harris,pop
Flames (with ZAYN) - R3HAB & Skytech VIP Remix,R3HAB,pop
What Am I - SONDR Remix,Why Don't We,pop
Cool Kids,Olympis,pop
Loco Contigo (with J. Balvin & Tyga) - Cedric Gervais Remix,DJ Snake,pop
All Star - Breathe Carolina Remix,Smash Mouth,pop
Trampoline - Dave Audé Remix,SHAED,pop
Stay (Don't Go Away) [feat. Raye] - Mark Knight Remix,David Guetta,pop
With You - Dexter Remix,Kaskade,pop
Safety (feat. DJ Snake) - Dark Heart 2am Mix,GASHI,pop
Beautiful (feat. Camila Cabello) - Bazzi vs. EDX's Ibiza Sunrise Remix,Bazzi vs.,pop
Talk - Disclosure VIP,Khalid,pop
Spicy - Majestic Remix,Herve Pagez,pop
Don't Leave Me Lonely (feat. Yebba) - Claptone Remix,Mark Ronson,pop
Treehouse - R3HAB Remix,James Arthur,pop
Hearts Ain't Gonna Lie - Eden Prince Remix,Arlissa,pop
Call You Mine,The Chainsmokers,pop
Post Malone (feat. RANI),Sam Feldt,pop
Here With Me,Marshmello,pop
Easier - Seeb Remix,5 Seconds of Summer,pop
Sixteen,Ellie Goulding,pop
Never Really Over,Katy Perry,pop
All You Need To Know (feat. Calle Lehmann),Gryffin,pop
I Miss Myself (with HRVY),NOTD,pop
South of the Border (feat. Camila Cabello & Cardi B) - Sam Feldt Remix,Ed Sheeran,pop
Takeaway (feat. Lennon Stella),The Chainsmokers,pop
All the Time,Zara Larsson,pop
What I Like About You (feat. Theresa Rex),Jonas Blue,pop
With You,Kaskade,pop
Body Back (feat. Maia Wright),Gryffin,pop
Not Ok,Kygo,pop
Ruin My Life,Zara Larsson,pop
I Wanna Know (feat. Bea Miller),NOTD,pop
Better With You,3LAU,pop
"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo,pop
Polaroid,Jonas Blue,pop
Lost In Japan - Remix,Shawn Mendes,pop
In Your Arms (with X Ambassadors),ILLENIUM,pop
I'm Not Alright,Loud Luxury,pop
SOS,Avicii,pop
Harder,Jax Jones,pop
The Middle,Zedd,pop
Wanted,NOTD,pop
Crash Into Me,Steve Aoki,pop
Need Your Love (with Noah Kahan),Gryffin,pop
Good Things Fall Apart (with Jon Bellion),ILLENIUM,pop
Don't Call Me Up,Mabel,pop
Nostalgic,A R I Z O N A,pop
Let It Be Me,Steve Aoki,pop
Lovers + Strangers,Starley,pop
Sad Song (feat. TINI),Alesso,pop
Sleepless Nights,ayokay,pop
